age,tenure_months,avg_monthly_spend,num_support_tickets,is_premium,churn
44,67,10.0,3,1,0
28,36,184.73009485559646,1,1,0
49,12,126.68310367986479,4,1,0
51,51,75.28815175071226,2,1,0
18,31,190.41374062533615,0,1,0
24,66,68.30646714733143,2,1,0
42,95,94.55068450614344,2,1,0
36,66,151.49342185901963,2,0,0
40,69,53.183830103107354,1,0,0
30,5,113.43114542357596,2,0,0
51,77,185.3482310348017,1,0,0
49,52,132.6666446172678,2,0,0
41,14,194.84558020942083,2,1,0
54,25,188.01614148035986,0,0,0
46,93,120.46430006529717,0,0,0
30,110,10.0,1,1,0
44,60,53.6536622870816,0,0,0
28,117,165.80004674306937,1,1,0
51,21,26.984914782882775,1,0,0
39,35,100.398444684783,1,1,0
38,111,140.30883682134194,1,1,0
32,21,208.1742417456906,2,0,0
55,79,85.49881821273516,2,0,0
38,26,81.39073745501224,1,0,0
35,39,116.85325401026996,3,1,0
36,57,141.05477818860615,1,1,0
46,43,110.74519035623436,1,1,0
44,104,182.95610093314863,0,1,0
45,116,72.05137001829169,2,1,1
45,60,127.2096560027426,3,1,0
66,63,146.71276261482114,0,0,1
35,6,95.9860314056486,0,1,0
34,28,170.382596193598,1,0,0
30,4,128.93751247454097,4,1,0
47,102,167.33074278913642,1,0,0
54,27,131.6462464829299,1,1,0
39,40,142.5842742892337,3,0,0
30,101,82.05649458903868,1,1,0
30,85,82.15369768852659,1,0,0
48,74,193.4637887957266,4,0,0
49,4,158.13062667121994,1,1,0
47,67,58.6220900266559,1,0,0
32,67,130.85180547928988,0,0,0
43,38,10.0,0,1,0
41,89,85.563590178035,1,1,0
43,111,177.66166059719436,2,0,0
50,31,112.49126467733043,3,0,0
43,39,127.07476017996187,0,0,0
48,38,10.0,0,1,0
41,100,96.4647829118309,2,0,0
43,9,140.29633342963274,0,1,1
48,107,147.9173925239004,3,1,0
23,93,177.74134268006185,2,0,0
36,58,107.3845348935943,0,0,0
34,70,110.06065124255105,0,1,0
32,107,40.07295423540826,3,1,0
