Year,Gender,Ethnicity,FirstName,Count,Rank,Prev_Count,Change,Trend
2012,FEMALE,ASIAN AND PACI,ABBY,88,44,,,New
2012,FEMALE,ASIAN AND PACI,ABIGAIL,232,26,,,New
2012,FEMALE,ASIAN AND PACI,ADA,96,43,,,New
2012,FEMALE,ASIAN AND PACI,AISHA,88,44,,,New
2012,FEMALE,ASIAN AND PACI,ALEXANDRA,84,43,,,New
2012,FEMALE,ASIAN AND PACI,ALEXIS,144,37,,,New
2012,FEMALE,ASIAN AND PACI,ALICE,296,19,,,New
2012,FEMALE,ASIAN AND PACI,ALINA,240,25,,,New
2012,FEMALE,ASIAN AND PACI,ALISHA,104,42,,,New
2012,FEMALE,ASIAN AND PACI,ALLISON,128,39,,,New
2012,FEMALE,ASIAN AND PACI,ALYSSA,144,37,,,New
2012,FEMALE,ASIAN AND PACI,AMANDA,176,33,,,New
2012,FEMALE,ASIAN AND PACI,AMAYA,88,44,,,New
2012,FEMALE,ASIAN AND PACI,AMBER,152,36,,,New
2012,FEMALE,ASIAN AND PACI,AMELIA,160,35,,,New
2012,FEMALE,ASIAN AND PACI,AMINA,144,37,,,New
2012,FEMALE,ASIAN AND PACI,AMY,184,32,,,New
2012,FEMALE,ASIAN AND PACI,ANAYA,84,43,,,New
2012,FEMALE,ASIAN AND PACI,ANGEL,112,41,,,New
2012,FEMALE,ASIAN AND PACI,ANGELA,416,7,,,New
2012,FEMALE,ASIAN AND PACI,ANGELINA,136,38,,,New
2012,FEMALE,ASIAN AND PACI,ANISHA,112,41,,,New
2012,FEMALE,ASIAN AND PACI,ANNA,312,18,,,New
2012,FEMALE,ASIAN AND PACI,ANNABELLE,96,43,,,New
2012,FEMALE,ASIAN AND PACI,ANNIE,200,30,,,New
2012,FEMALE,ASIAN AND PACI,ANYA,152,36,,,New
2012,FEMALE,ASIAN AND PACI,ARIA,176,33,,,New
2012,FEMALE,ASIAN AND PACI,ARIANA,144,37,,,New
2012,FEMALE,ASIAN AND PACI,ARIANNA,168,34,,,New
2012,FEMALE,ASIAN AND PACI,ARIEL,96,43,,,New
2012,FEMALE,ASIAN AND PACI,ARISHA,88,44,,,New
2012,FEMALE,ASIAN AND PACI,ARYA,104,42,,,New
2012,FEMALE,ASIAN AND PACI,ASHLEY,360,14,,,New
2012,FEMALE,ASIAN AND PACI,ATHENA,80,45,,,New
2012,FEMALE,ASIAN AND PACI,AUDREY,280,20,,,New
2012,FEMALE,ASIAN AND PACI,AVA,376,12,,,New
2012,FEMALE,ASIAN AND PACI,AVERY,168,34,,,New
2012,FEMALE,ASIAN AND PACI,AYESHA,152,36,,,New
2012,FEMALE,ASIAN AND PACI,BELLA,152,36,,,New
2012,FEMALE,ASIAN AND PACI,BONNIE,96,43,,,New
