store,item,date,sales
S1,I1,2022-01-01,46.2
S1,I1,2022-01-02,34.8
S1,I1,2022-01-03,51.3
S1,I1,2022-01-04,63.2
S1,I1,2022-01-05,52.6
S1,I1,2022-01-06,48.0
S1,I1,2022-01-07,50.4
S1,I1,2022-01-08,41.4
S1,I1,2022-01-09,44.8
S1,I1,2022-01-10,47.6
S1,I1,2022-01-11,69.4
S1,I1,2022-01-12,63.3
S1,I1,2022-01-13,48.9
S1,I1,2022-01-14,56.4
S1,I1,2022-01-15,41.5
S1,I1,2022-01-16,38.5
S1,I1,2022-01-17,56.1
S1,I1,2022-01-18,48.6
S1,I1,2022-01-19,60.8
S1,I1,2022-01-20,49.7
S1,I1,2022-01-21,42.8
S1,I1,2022-01-22,38.6
S1,I1,2022-01-23,50.4
S1,I1,2022-01-24,50.6
S1,I1,2022-01-25,52.0
S1,I1,2022-01-26,51.6
S1,I1,2022-01-27,57.7
S1,I1,2022-01-28,46.7
S1,I1,2022-01-29,44.3
S1,I1,2022-01-30,47.1
S1,I1,2022-01-31,61.8
S1,I1,2022-02-01,58.7
S1,I1,2022-02-02,58.6
S1,I1,2022-02-03,52.6
S1,I1,2022-02-04,47.4
S1,I1,2022-02-05,46.1
S1,I1,2022-02-06,43.0
S1,I1,2022-02-07,49.1
S1,I1,2022-02-08,53.3
S1,I1,2022-02-09,65.4
S1,I1,2022-02-10,58.1
S1,I1,2022-02-11,48.9
S1,I1,2022-02-12,40.3
S1,I1,2022-02-13,38.3
S1,I1,2022-02-14,47.7
S1,I1,2022-02-15,55.5
S1,I1,2022-02-16,58.1
S1,I1,2022-02-17,54.5
S1,I1,2022-02-18,52.4
S1,I1,2022-02-19,40.8
S1,I1,2022-02-20,45.3
S1,I1,2022-02-21,57.5
S1,I1,2022-02-22,55.7
S1,I1,2022-02-23,59.1
S1,I1,2022-02-24,57.2
S1,I1,2022-02-25,44.0
S1,I1,2022-02-26,37.6
S1,I1,2022-02-27,49.1
S1,I1,2022-02-28,42.5
S1,I1,2022-03-01,61.3
S1,I1,2022-03-02,51.6
S1,I1,2022-03-03,56.4
S1,I1,2022-03-04,53.0
