customer_id,month,income,savings_rate,overspend_flag,housing,food,transport,shopping,entertainment,other
C001,2022-01,4874.01,0.165,0,577.91,895.87,512.02,620.08,901.58,560.27
C001,2022-02,3955.26,0.122,0,637.09,672.93,454.13,421.13,796.01,493.26
C001,2022-03,4830.19,0.113,0,699.94,1111.55,556.54,501.24,790.33,623.84
C001,2022-04,5403.18,0.148,0,722.88,822.49,580.98,666.65,1119.28,690.86
C001,2022-05,3967.59,0.105,0,558.85,703.14,502.79,504.3,764.25,516.86
C001,2022-06,4554.06,0.184,0,646.75,868.3,436.65,487.38,788.87,486.83
C001,2022-07,4279.89,0.159,0,713.18,648.63,601.42,359.66,757.59,518.36
C001,2022-08,4968.98,0.108,0,748.5,968.45,577.8,519.83,1045.27,570.62
C001,2022-09,3479.45,0.174,0,393.09,522.44,458.77,399.48,715.64,385.01
C001,2022-10,4626.83,0.165,0,688.87,768.47,606.61,468.46,815.36,515.71
C001,2022-11,3543.33,0.12,0,517.53,573.7,435.58,427.03,704.61,460.74
C001,2022-12,4421.21,0.271,0,563.58,760.85,405.18,389.11,660.51,444.53
C001,2023-01,4819.82,0.156,0,566.94,791.86,706.65,512.84,997.66,490.04
C001,2023-02,4335.65,0.176,0,506.04,716.75,599.04,361.1,860.7,530.88
C001,2023-03,4024.68,0.154,0,428.99,708.57,454.61,468.21,752.55,590.16
C001,2023-04,4308.52,0.11,0,496.41,770.61,546.1,583.06,903.58,536.66
C001,2023-05,5670.64,0.242,0,634.22,892.89,599.08,600.17,838.61,734.31
C001,2023-06,4322.22,0.079,0,458.52,638.13,555.28,546.95,1046.82,734.37
C001,2023-07,4831.53,0.257,0,560.02,572.4,616.64,476.89,844.37,518.78
C001,2023-08,4387.37,0.2,0,692.67,782.16,525.52,416.57,612.28,480.88
C001,2023-09,4456.97,0.151,0,767.53,791.45,627.49,463.49,683.02,450.66
C001,2023-10,3919.82,0.095,0,703.88,598.61,541.46,380.95,832.63,490.2
C001,2023-11,4374.69,0.224,0,591.81,687.11,572.69,458.2,665.44,418.07
C001,2023-12,4638.07,0.071,0,780.84,827.21,558.97,543.72,1033.75,566.4
C002,2022-01,3614.36,0.158,0,300.77,637.22,474.58,169.02,1088.84,371.8
C002,2022-02,5625.99,0.233,0,548.09,991.95,543.73,261.37,1517.69,450.13
C002,2022-03,3797.48,0.188,0,346.7,694.46,424.55,178.54,1087.59,353.53
C002,2022-04,5302.21,0.125,0,550.76,1023.54,722.85,222.24,1582.47,538.01
C002,2022-05,4641.26,0.067,0,373.53,756.38,669.93,299.23,1836.86,396.26
C002,2022-06,4270.09,0.214,0,320.33,625.73,624.17,235.99,1174.5,377.06
C002,2022-07,2782.17,0.225,0,260.88,376.04,357.46,113.08,847.06,200.58
C002,2022-08,3326.36,0.043,0,421.83,431.55,387.87,198.57,1474.91,268.45
C002,2022-09,4205.4,0.083,0,424.91,851.5,500.05,189.57,1450.17,438.6
C002,2022-10,4199.08,0.189,0,395.49,535.91,565.11,188.66,1341.94,376.88
C002,2022-11,4877.23,0.135,0,539.99,802.47,716.61,230.07,1506.23,425.84
C002,2022-12,4753.2,0.117,0,450.19,1004.2,819.94,235.32,1299.89,387.72
C002,2023-01,5452.91,0.16,0,544.76,939.89,561.88,290.7,1798.79,444.96
C002,2023-02,4122.78,0.161,0,411.94,668.1,550.18,189.95,1225.1,412.89
C002,2023-03,5677.19,0.23,0,335.58,880.38,813.32,277.49,1655.45,409.38
C002,2023-04,4762.4,0.165,0,576.34,589.55,750.79,211.9,1457.22,392.64
C002,2023-05,4232.44,0.027,0,486.13,739.99,744.19,233.06,1393.17,522.79
C002,2023-06,4851.19,0.12,0,524.18,745.3,683.82,203.28,1720.56,391.02
C002,2023-07,5125.88,0.085,0,478.59,968.96,795.97,305.4,1756.53,383.52
C002,2023-08,4446.44,0.191,0,352.24,659.34,761.24,227.99,1229.21,369.15
C002,2023-09,4526.23,0.175,0,355.65,654.49,661.27,248.54,1525.45,290.85
C002,2023-10,4743.49,0.138,0,460.85,810.03,822.52,153.29,1335.02,505.59
C002,2023-11,3234.72,0.053,0,379.74,548.83,508.78,138.42,1120.9,367.47
C002,2023-12,4686.3,0.161,0,466.26,784.04,569.35,214.47,1414.14,485.22
C003,2022-01,4943.29,0.074,0,1405.87,535.37,254.8,836.13,559.83,983.73
C003,2022-02,5547.64,0.232,0,888.37,503.52,310.62,666.25,719.07,1171.84
C003,2022-03,4721.02,0.213,0,784.29,344.74,350.73,598.1,613.63,1021.88
C003,2022-04,4610.59,0.128,0,1082.72,532.91,366.77,562.15,545.54,929.56
C003,2022-05,5156.42,0.202,0,1022.77,621.23,364.83,690.62,705.03,707.91
C003,2022-06,3462.82,0.228,0,567.67,251.5,229.22,525.18,403.08,698.26
C003,2022-07,5371.37,0.125,0,1357.77,593.98,476.19,742.44,571.11,958.11
C003,2022-08,3315.57,0.154,0,605.81,350.59,273.78,568.71,319.58,687.56
C003,2022-09,3667.56,0.165,0,828.17,401.76,196.04,569.65,405.5,660.71
C003,2022-10,3644.2,0.113,0,692.8,433.34,260.92,521.33,467.19,855.03
C003,2022-11,4225.77,0.157,0,693.45,547.79,295.92,672.45,543.4,811.27
C003,2022-12,4779.02,0.055,0,1302.23,700.39,355.83,667.21,674.94,817.18
C003,2023-01,4766.46,0.258,0,1000.86,557.69,307.34,494.9,399.37,776.98
C003,2023-02,4133.06,0.14,0,832.93,596.04,355.09,482.17,528.79,759.97
C003,2023-03,4272.51,0.136,0,925.68,521.76,298.82,675.46,430.54,837.5
C003,2023-04,6578.14,0.112,0,1433.06,893.08,491.4,974.98,793.08,1255.29
C003,2023-05,3876.41,0.123,0,869.89,377.83,314.17,614.54,497.28,726.54
C003,2023-06,4863.17,0.251,0,977.68,619.68,259.92,629.65,414.76,738.79
C003,2023-07,5591.09,0.15,0,1336.85,557.33,319.15,423.31,624.44,1492.45
C003,2023-08,4847.91,0.184,0,936.16,579.5,273.6,631.47,598.29,937.12
C003,2023-09,5132.64,0.116,0,1137.89,631.03,339.17,794.01,776.62,858.87
C003,2023-10,3789.84,0.074,0,958.97,411.33,338.08,482.4,561.42,756.82
C003,2023-11,4706.58,0.164,0,1225.0,497.38,297.87,598.51,611.14,705.23
C003,2023-12,5009.98,0.245,0,970.75,656.21,236.6,602.46,455.09,859.53
C004,2022-01,4430.32,0.244,0,587.65,401.85,507.32,647.46,577.8,626.98
C004,2022-02,4767.44,0.14,0,667.98,431.55,733.16,951.64,700.23,615.13
C004,2022-03,4938.74,0.179,0,706.08,395.34,662.32,922.29,642.89,726.54
C004,2022-04,3336.14,0.178,0,556.86,405.02,434.89,632.13,320.55,394.42
C004,2022-05,4264.98,0.166,0,497.66,482.88,750.98,631.09,561.18,631.59
C004,2022-06,5788.89,0.217,0,657.34,614.1,998.61,782.45,703.72,775.41
C004,2022-07,4083.53,0.137,0,637.01,432.73,405.97,790.47,561.26,695.75
C004,2022-08,3997.93,0.154,0,502.82,442.02,603.67,766.65,449.5,618.0
C004,2022-09,3672.55,0.193,0,528.68,295.36,530.9,580.06,446.32,581.55
C004,2022-10,4693.32,0.156,0,592.49,584.42,593.86,847.37,734.74,608.92
C004,2022-11,4876.91,0.188,0,623.86,467.93,795.83,739.52,468.28,866.14
C004,2022-12,6539.46,0.23,0,854.02,474.45,844.76,1124.59,956.03,779.16
C004,2023-01,4963.65,0.096,0,744.48,393.81,743.05,1166.5,766.2,674.06
C004,2023-02,4386.4,0.133,0,666.2,332.12,608.96,742.0,843.02,611.02
C004,2023-03,5834.31,0.151,0,676.93,649.19,828.36,911.67,901.32,986.3
C004,2023-04,4240.97,0.252,0,440.03,432.55,496.82,722.9,630.38,451.41
C004,2023-05,3207.47,0.188,0,478.24,302.29,267.39,644.18,502.38,409.66
C004,2023-06,3446.54,0.062,0,539.31,370.92,633.86,658.32,548.8,480.64
C004,2023-07,5153.42,0.134,0,783.76,625.95,643.63,865.51,719.76,824.56
C004,2023-08,5698.7,0.193,0,737.85,545.63,808.49,986.22,980.01,539.8
C004,2023-09,3838.64,0.227,0,471.11,255.92,444.92,595.06,560.22,640.73
C004,2023-10,4303.95,0.186,0,505.92,436.37,674.91,660.14,559.2,667.2
C004,2023-11,4322.77,0.155,0,659.45,441.15,647.33,656.14,649.32,598.77
C004,2023-12,3527.29,0.185,0,375.44,397.81,452.75,536.61,523.13,589.9
C005,2022-01,4722.51,0.172,0,125.53,479.55,1065.48,274.66,692.26,1270.51
C005,2022-02,5450.18,0.088,0,119.85,357.35,1113.17,477.19,1530.15,1373.45
C005,2022-03,4202.63,0.043,0,94.5,382.82,807.83,273.72,1214.91,1246.15
C005,2022-04,5408.84,0.054,0,121.04,554.94,1193.0,443.13,1420.25,1385.63
C005,2022-05,5092.01,0.259,0,144.85,486.72,750.62,396.11,1032.05,962.32
C005,2022-06,5845.45,0.094,0,191.14,639.94,1221.46,540.08,1294.93,1408.77
C005,2022-07,3625.22,0.127,0,99.74,332.65,587.03,276.38,792.05,1076.52
C005,2022-08,5215.37,0.189,0,135.65,491.96,1056.58,388.49,966.02,1192.17
C005,2022-09,3903.12,0.126,0,82.34,382.15,831.63,219.5,847.21,1049.24
C005,2022-10,5347.38,0.159,0,160.21,489.11,939.77,344.05,1243.58,1321.84
C005,2022-11,5529.86,0.189,0,167.28,492.89,905.21,404.51,1262.65,1254.16
C005,2022-12,4037.68,0.176,0,108.82,339.41,736.05,324.7,839.01,978.94
C005,2023-01,4718.56,0.267,0,101.58,398.11,1154.44,299.33,712.13,795.4
C005,2023-02,4523.29,0.078,0,117.99,404.07,1076.13,208.19,1059.63,1305.73
C005,2023-03,3597.78,0.081,0,88.1,290.22,626.94,262.88,965.92,1073.39
C005,2023-04,4231.25,0.073,0,141.26,386.82,1075.57,320.53,954.04,1043.89
C005,2023-05,7043.08,0.116,0,206.23,572.52,1623.48,511.74,1443.01,1871.8
C005,2023-06,4524.87,0.175,0,122.4,412.33,956.63,369.8,709.86,1164.13
C005,2023-07,3714.38,0.181,0,75.58,334.81,756.96,255.68,923.74,693.85
C005,2023-08,4174.45,0.13,0,98.88,376.95,875.27,272.23,1023.37,985.58
C005,2023-09,2986.44,0.159,0,54.76,271.07,581.12,225.88,657.61,722.13
C005,2023-10,5258.12,0.174,0,113.77,394.09,884.68,421.48,1379.85,1150.24
C005,2023-11,2500.0,0.199,0,48.32,198.93,461.05,180.3,556.02,557.38
C005,2023-12,5339.47,0.151,0,124.58,422.74,1151.79,315.73,1249.72,1268.05
C006,2022-01,5289.92,0.096,0,879.22,663.97,769.47,1031.95,357.59,1079.25
C006,2022-02,3806.4,0.103,0,548.69,359.38,500.16,790.51,349.3,866.09
C006,2022-03,4314.18,0.078,0,617.9,445.92,620.47,820.84,506.63,967.18
C006,2022-04,4971.64,0.104,0,582.53,506.64,764.46,909.77,483.01,1206.72
C006,2022-05,4892.61,0.148,0,817.63,527.18,624.14,832.3,258.19,1108.38
C006,2022-06,2500.0,0.164,0,262.52,275.66,361.03,334.29,210.27,645.7
C006,2022-07,4112.78,0.085,0,778.4,424.59,588.15,827.63,394.89,748.63
C006,2022-08,4412.22,0.181,0,621.51,362.36,571.77,635.03,473.08,950.17
C006,2022-09,4273.76,0.14,0,595.6,456.11,629.21,588.37,339.56,1067.31
C006,2022-10,4170.13,0.174,0,465.05,459.31,601.02,520.3,406.2,991.97
C006,2022-11,4799.51,0.138,0,744.13,391.23,678.89,742.02,419.21,1162.5
C006,2022-12,5683.42,0.07,0,1021.51,702.66,753.28,969.16,596.73,1239.73
C006,2023-01,4604.61,0.149,0,732.67,471.28,552.63,699.38,474.82,986.92
C006,2023-02,4772.17,0.088,0,743.75,465.1,716.04,816.8,366.14,1243.56
C006,2023-03,4099.4,0.235,0,436.42,356.97,467.82,669.12,370.16,833.87
C006,2023-04,4995.76,0.156,0,743.56,540.36,714.61,883.87,321.68,1011.77
C006,2023-05,2755.83,0.113,0,392.39,284.39,429.61,525.83,267.39,546.09
C006,2023-06,4888.13,0.122,0,637.43,504.68,756.15,725.42,515.91,1153.63
C006,2023-07,3736.17,0.164,0,606.4,426.25,511.18,535.9,306.47,735.87
C006,2023-08,4934.08,0.113,0,598.59,542.97,541.06,774.64,472.26,1444.76
C006,2023-09,3398.15,0.104,0,587.5,358.81,486.17,560.12,341.33,711.23
C006,2023-10,5663.24,0.157,0,747.1,684.15,689.4,908.9,447.53,1296.09
C006,2023-11,5656.1,0.235,0,791.71,566.84,634.77,884.53,405.35,1045.82
C006,2023-12,4681.43,0.057,0,794.14,687.15,575.35,921.42,456.94,980.18
C007,2022-01,3975.16,0.002,0,802.39,695.29,206.11,877.18,422.63,965.44
C007,2022-02,4991.28,0.154,0,927.34,760.84,201.26,1062.06,356.35,912.97
C007,2022-03,5542.85,0.132,0,1064.1,958.7,256.64,882.79,478.84,1168.67
C007,2022-04,4563.19,0.149,0,910.27,610.32,231.89,748.33,436.58,948.06
C007,2022-05,3900.15,0.12,0,641.41,536.29,180.62,950.48,344.38,780.29
C007,2022-06,2822.04,0.106,0,416.59,383.32,122.2,655.99,246.66,699.3
C007,2022-07,4549.36,0.195,0,779.95,634.76,219.71,1101.8,265.86,661.1
C007,2022-08,4065.46,0.097,0,694.63,634.41,210.16,737.67,420.05,974.72
C007,2022-09,4647.25,0.102,0,906.71,684.05,205.42,988.47,423.4,965.27
C007,2022-10,5678.36,0.312,0,612.2,632.22,225.28,1033.77,489.47,912.58
C007,2022-11,3711.87,0.159,0,551.12,718.38,227.59,670.56,314.52,637.95
C007,2022-12,2973.5,0.227,0,498.06,357.55,141.7,435.11,236.03,631.26
C007,2023-01,4792.97,0.176,0,868.32,543.53,261.01,812.09,470.33,993.74
C007,2023-02,3398.89,0.098,0,551.99,506.98,179.14,640.6,374.6,812.5
C007,2023-03,4294.68,0.077,0,814.58,783.48,268.26,674.6,331.4,1090.5
C007,2023-04,3653.38,0.224,0,499.3,478.95,187.46,692.64,295.47,681.95
C007,2023-05,3930.13,0.109,0,581.65,745.97,198.17,857.38,326.38,793.39
C007,2023-06,3929.16,0.3,0,403.43,440.78,138.14,501.23,289.0,978.11
C007,2023-07,4464.45,0.099,0,908.49,670.24,240.79,743.45,431.56,1028.45
C007,2023-08,4038.68,0.173,0,746.34,619.62,178.87,646.66,297.66,849.58
C007,2023-09,4761.61,0.087,0,715.3,676.03,249.5,1001.84,526.08,1178.23
C007,2023-10,3698.97,0.171,0,789.89,481.41,206.52,719.48,311.01,559.86
C007,2023-11,4362.75,0.2,0,569.82,706.45,258.49,739.61,408.71,807.41
C007,2023-12,3997.21,0.116,0,760.65,561.98,243.28,713.97,411.94,842.21
C008,2022-01,4001.12,0.127,0,703.57,394.0,316.48,684.12,978.95,414.45
C008,2022-02,2763.51,0.234,0,337.95,334.72,177.45,464.9,559.93,241.94
C008,2022-03,6102.81,0.217,0,1201.6,677.17,362.78,930.92,1050.64,556.87
C008,2022-04,5176.39,0.262,0,692.68,504.54,272.21,717.75,1319.82,312.58
C008,2022-05,4991.42,0.172,0,973.55,519.76,199.44,688.33,1496.02,255.79
C008,2022-06,4221.98,0.119,0,608.87,511.98,241.46,726.01,1158.49,473.08
C008,2022-07,4337.65,0.193,0,802.96,364.81,325.31,623.06,1004.88,379.81
C008,2022-08,3249.69,0.159,0,588.98,402.67,215.88,401.32,806.71,317.27
C008,2022-09,2997.61,0.075,0,440.59,367.01,198.48,516.05,969.7,281.86
C008,2022-10,5026.31,0.07,0,1238.88,526.43,281.57,867.24,1355.07,406.69
C008,2022-11,3674.08,0.076,0,866.87,417.05,208.12,677.54,914.11,310.54
C008,2022-12,4949.82,0.17,0,699.28,563.93,405.36,858.66,1181.36,401.78
C008,2023-01,4171.73,0.169,0,703.16,425.82,301.96,500.54,1191.64,345.63
C008,2023-02,4801.56,0.169,0,699.14,623.1,362.64,890.56,938.56,474.3
C008,2023-03,4823.88,0.165,0,641.75,520.07,323.75,847.36,1252.6,442.31
C008,2023-04,5678.89,0.237,0,1178.11,350.22,344.17,898.01,1058.91,505.96
C008,2023-05,5499.01,0.149,0,806.54,625.05,301.86,801.73,1699.16,443.79
C008,2023-06,4869.77,0.164,0,613.81,674.14,337.9,767.95,1338.1,337.35
C008,2023-07,5446.02,0.151,0,907.93,571.25,321.0,806.09,1521.06,496.82
