Spangle, bright drop or object
Firework, explosive device to producing a striking display of light or a loud noise
Barbecue, piece of beef or roasted over an open hearth
Picnic, an excursion or outing in which the participants carry food with them
Bunting, patriotic and festive decorations made from such cloth or from paper
Parade, a large public procession and usually including a marching band
Firecracker, a paper or cardboard cylinder filled with an explosive and having a fuse
Proclmation, something that is proclaimed
Gala, a festive occasion
Founding Fathers, the delegates to the Constitutional Covention in Philadelphia in 1787
Commmoration, the act of commemorating
Fourth of July, Indepedence date 
Declaration of Independece, the public act by which the Second Continental Congress, on July 4, 1776
Continential Congress, either of two legislative congresses during and after the Revolutionary War
Thirteen Colonies, the thirteen British colonies in North American that joined together and became the U.S.
Revolutionary War, American Revolutionary
Articles of Confederation, the first constitution of the 13 American states, adopted in 1781 and replaced in 1789 by the Constitution of the U.S.
Constitution, the system of fundamental principles according to which a nation is governed
Patriot, characteristic of a patriot 
